ticker,type,price,why
DAR,BREAKEVEN,79.762,move the stop to entry here
DAR,TARGET 1,98.02,"measured move, sell part of the position (3.14R)"
DAR,TARGET 2,120.452,second measured move (5.76R)
SJM,BUY STOP,128.2354,"breakout trigger, above the base pivot"
SJM,BUY LIMIT,126.4648,"pullback entry, old resistance acting as support"
SJM,STOP LOSS,112.8471,"initial stop, below base support and the 30 week average"
SJM,BREAKEVEN,143.6236,move the stop to entry here
SJM,TARGET 1,166.4588,"measured move, sell part of the position (2.48R)"
SJM,TARGET 2,198.454,second measured move (4.56R)
PH,BUY STOP,1114.3284,"breakout trigger, above the base pivot"
PH,BUY LIMIT,1099.9399,"pullback entry, old resistance acting as support"
PH,STOP LOSS,980.609,"initial stop, below base support and the 30 week average"
PH,BREAKEVEN,1248.0478,move the stop to entry here
PH,TARGET 1,1384.8699,"measured move, sell part of the position (2.02R)"
PH,TARGET 2,1612.8138,second measured move (3.73R)
GRMN,BUY STOP,318.5496,"breakout trigger, above the base pivot"
GRMN,BUY LIMIT,314.28,"pullback entry, old resistance acting as support"
GRMN,STOP LOSS,280.3237,"initial stop, below base support and the 30 week average"
GRMN,BREAKEVEN,356.7756,move the stop to entry here
GRMN,TARGET 1,432.5726,"measured move, sell part of the position (2.98R)"
GRMN,TARGET 2,527.2066,second measured move (5.46R)
BIO,BUY STOP,391.9821,"breakout trigger, above the base pivot"
BIO,BUY LIMIT,385.92,"pullback entry, old resistance acting as support"
BIO,STOP LOSS,344.9442,"initial stop, below base support and the 30 week average"
BIO,BREAKEVEN,439.0199,move the stop to entry here
BIO,TARGET 1,615.4431,"measured move, sell part of the position (4.75R)"
BIO,TARGET 2,799.0616,second measured move (8.65R)
JCI,BUY STOP,159.3629,"breakout trigger, above the base pivot"
JCI,BUY LIMIT,157.06,"pullback entry, old resistance acting as support"
JCI,STOP LOSS,140.2394,"initial stop, below base support and the 30 week average"
JCI,BREAKEVEN,178.4864,move the stop to entry here
JCI,TARGET 1,201.8278,"measured move, sell part of the position (2.22R)"
JCI,TARGET 2,237.6421,second measured move (4.09R)
NTNX,BUY STOP,70.0771,"breakout trigger, above the base pivot"
NTNX,BUY LIMIT,68.8,"pullback entry, old resistance acting as support"
NTNX,STOP LOSS,61.6678,"initial stop, below base support and the 30 week average"
NTNX,BREAKEVEN,78.4863,move the stop to entry here
NTNX,TARGET 1,103.59,"measured move, sell part of the position (3.99R)"
NTNX,TARGET 2,131.422,second measured move (7.29R)
ADP,BUY STOP,285.7284,"breakout trigger, above the base pivot"
ADP,BUY LIMIT,282.17,"pullback entry, old resistance acting as support"
ADP,STOP LOSS,251.441,"initial stop, below base support and the 30 week average"
ADP,BREAKEVEN,320.0158,move the stop to entry here
ADP,TARGET 1,377.5968,"measured move, sell part of the position (2.68R)"
ADP,TARGET 2,453.9383,second measured move (4.91R)
GEN,BUY STOP,30.2576,"breakout trigger, above the base pivot"
GEN,BUY LIMIT,29.7389,"pullback entry, old resistance acting as support"
GEN,STOP LOSS,26.6267,"initial stop, below base support and the 30 week average"
GEN,BREAKEVEN,33.8885,move the stop to entry here
GEN,TARGET 1,41.8702,"measured move, sell part of the position (3.2R)"
GEN,TARGET 2,51.5752,second measured move (5.87R)
TWLO,BUY STOP,264.4764,"breakout trigger, above the base pivot"
TWLO,BUY LIMIT,258.353,"pullback entry, old resistance acting as support"
TWLO,STOP LOSS,232.7393,"initial stop, below base support and the 30 week average"
TWLO,BREAKEVEN,296.2136,move the stop to entry here
TWLO,TARGET 1,411.706,"measured move, sell part of the position (4.64R)"
TWLO,TARGET 2,534.3884,second measured move (8.5R)
PAYX,BUY STOP,127.5784,"breakout trigger, above the base pivot"
PAYX,BUY LIMIT,125.9,"pullback entry, old resistance acting as support"
PAYX,STOP LOSS,112.269,"initial stop, below base support and the 30 week average"
PAYX,BREAKEVEN,142.8878,move the stop to entry here
PAYX,TARGET 1,168.3045,"measured move, sell part of the position (2.66R)"
PAYX,TARGET 2,202.2281,second measured move (4.88R)
AME,BUY STOP,264.0875,"breakout trigger, above the base pivot"
AME,BUY LIMIT,261.16,"pullback entry, old resistance acting as support"
AME,STOP LOSS,232.397,"initial stop, below base support and the 30 week average"
AME,BREAKEVEN,295.778,move the stop to entry here
AME,TARGET 1,315.3104,"measured move, sell part of the position (1.62R)"
AME,TARGET 2,358.6306,second measured move (2.98R)
